TOA5,CR1000,CR1000,86673,CR1000.Std.31.03,CPU:Chieppa_8sensors variable voltage.CR1,13783,Quantum,,,,
TIMESTAMP,RECORD,BattV_Min,PanelT,PPF(1),PPF(2),PPF(3),PPF(4),PPF(5),PPF(6),PPF(7),PPF(8)
TS,RN,,,,,,,,,,
,,Min,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
6/7/2024 23:20,84253,13.60425,21.72473,0,0,0,0,0,0,0,0
6/7/2024 23:25,84254,13.60419,21.80832,0,0,0,0,0,0,0,0
6/7/2024 23:30,84255,13.60485,21.88965,0,0,0,0,0,0,0,0
6/7/2024 23:35,84256,13.60388,21.94614,0,0,0,0,0,0,0,0
6/7/2024 23:40,84257,13.60303,22.00036,0,0,0,0,0,0,0,0
6/7/2024 23:45,84258,13.60885,22.00036,0,0,0,0,0,0,0,0
6/7/2024 23:50,84259,13.60291,21.88965,0,0,0,0,0,0,0,0
6/7/2024 23:55,84260,13.6029,21.72473,0,0,0,0,0,0,0,0
6/8/2024 0:00,84261,13.6027,21.61628,0,0,0,0,0,0,0,0
6/8/2024 0:05,84262,13.60448,21.61628,0,0,0,0,0,0,0,0
6/8/2024 0:10,84263,13.60439,21.72473,0,0,0,0,0,0,0,0
6/8/2024 0:15,84264,13.6046,21.83543,0,0,0,0,0,0,0,0
6/8/2024 0:20,84265,13.60458,21.94614,0,0,0,0,0,0,0,0
6/8/2024 0:25,84266,13.60413,22.05684,0,0,0,0,0,0,0,0
6/8/2024 0:30,84267,13.60957,22.08395,0,0,0,0,0,0,0,0
6/8/2024 0:35,84268,13.60896,21.94614,0,0,0,0,0,0,0,0
6/8/2024 0:40,84269,13.6042,21.75184,0,0,0,0,0,0,0,0
6/8/2024 0:45,84270,13.60435,21.6434,0,0,0,0,0,0,0,0
6/8/2024 0:50,84271,13.60454,21.67051,0,0,0,0,0,0,0,0
6/8/2024 0:55,84272,13.6052,21.78121,0,0,0,0,0,0,0,0
6/8/2024 1:00,84273,13.60454,21.88965,0,0,0,0,0,0,0,0
6/8/2024 1:05,84274,13.60495,21.94614,0,0,0,0,0,0,0,0
6/8/2024 1:10,84275,13.60291,21.94614,0,0,0,0,0,0,0,0
6/8/2024 1:15,84276,13.60353,21.86255,0,0,0,0,0,0,0,0
6/8/2024 1:20,84277,13.60336,21.78121,0,0,0,0,0,0,0,0
6/8/2024 1:25,84278,13.60393,21.69762,0,0,0,0,0,0,0,0
6/8/2024 1:30,84279,13.60343,21.61628,0,0,0,0,0,0,0,0
6/8/2024 1:35,84280,13.60925,21.5598,0,0,0,0,0,0,0,0
6/8/2024 1:40,84281,13.60416,21.50558,0,0,0,0,0,0,0,0
6/8/2024 1:45,84282,13.6042,21.5598,0,0,0,0,0,0,0,0
6/8/2024 1:50,84283,13.60389,21.67051,0,0,0,0,0,0,0,0
6/8/2024 1:55,84284,13.60439,21.78121,0,0,0,0,0,0,0,0
6/8/2024 2:00,84285,13.60999,21.86255,0,0,0,0,0,0,0,0
6/8/2024 2:05,84286,13.60443,21.91903,0,0,0,0,0,0,0,0
6/8/2024 2:10,84287,13.60316,21.94614,0,0,0,0,0,0,0,0
6/8/2024 2:15,84288,13.60342,21.97325,0,0,0,0,0,0,0,0
